Gene	Alias
YARS2	mt-TyrRS,CGI-04,FLJ13995
IGSF9	Nrt1,KIAA1355,IGSF9A
LRCH3	MGC4126
RIOK2	FLJ11159
CA5A	CAVA,CAV,CA5
FBXO16	FBX16
FBXL3	FBL3A,FBL3,FBXL3A
EDN2	ET2
ZNF302	ZNF135L,ZNF140L,ZNF327
CRLF1	CLF-1,CISS1,CLF,CISS
DCAF17	FLJ13096,C2orf37
CCDC94	YJU2
SIAH3	FLJ39203
OMA1	ZMPOMA1,YKR087C,MPRP-1,FLJ33782
NBPF15	NBPF16,MGC8902
IL13	ALRH,IL-13,MGC116786,P600,MGC116788,BHR1,MGC116789
BRMS1	DKFZP564A063
ELAC2	FLJ10530,HPC2
FKBP14	FKBP22,FLJ20731
C8orf76	FLJ14825
ROM1	TSPAN23,ROM
FAM162B	bA86F4.2,C6orf189
AP2A2	CLAPA2,ADTAB,DKFZP564D1864,HYPJ,HIP9,KIAA0899
ERV3-1	envR,H-PLK,HERV-R,ERV3,ERV-R
ZNF773	MGC4728,ZNF419B
USP8	HumORF8,UBPY,KIAA0055,SPG59
TCN2	TC2,D22S676,D22S750
PBDC1	MGC874,CXorf26
KRTAP24-1	KAP24.1
DERL2	F-LANa,F-LAN-1,derlin-2,CGI-101,FLANa
ATAD1	FLJ14600,Msp1
SCLY	SCL
ZKSCAN1	ZNF36,ZNF139,KOX18,ZSCAN33,PHZ-37
LRRC37A2	FLJ45049
WLS	mig-14,C1orf139,GPR177,EVI,MRP,FLJ23091
MRGPRX3	MRGX3
CYSRT1	MGC59937,C9orf169
IRF2BP1	IRF-2BP1,DKFZP434M154
HP1BP3	HP1-BP74
CLEC18A	MRCL
FAM129B	NIBAN2,C9orf88
REXO1	KIAA1138,TCEB3BP1,EloA-BP1
LILRB1	LIR1,PIRB,CD85j,ILT2,MIR-7,PIR-B,CD85,LIR-1
LCE3D	SPRL6A,SPRL6B,LEP16
OVOL1	HOVO1
C11orf1	FLJ23499
IDI2	IPPI2
EXD2	EXDL2,FLJ10738,C14orf114
GPATCH3	FLJ12455,GPATC3
SEMA3C	SemE,SEMAE
SDF4	Cab45
BEND6	C6orf65,FLJ30162,bA203B9.1
PRSS16	TSSP
OTUB1	FLJ40710,FLJ20113
OTUD7A	CEZANNE2,OTUD7,C15orf16
PCDHB12	PCDH-BETA12
CLDN22	CLDN21
LRIG1	LIG1,LIG-1,DKFZP586O1624
HPS6	FLJ22501,BLOC2S3
MTRR	cblE
RAP1A	SMGP21,KREV-1
OR2H1	OR6-2,OR2H8,OR2H6
TXNDC11	EFP1
ETFA	EMA,GA2,MADD
SOWAHC	FLJ21870,C2orf26,ANKRD57
ASNA1	GET3
PTPN11	PTP2C,SHP-2,SHP2,SH-PTP2,NS1,BPTP3
IDO1	INDO,IDO
MAP3K6	ASK2,MAPKKK6,MEKK6
SNRPD2	Sm-D2,SNRPD1
CD1A	CD1
SMNDC1	TDRD16C,SMNR,SPF30
CELF2	NAPOR-2,BRUNOL3,CUGBP2,Etr-3
CCDC13	FLJ25467
NT5C1A	CN1A,CN1,CN-IA,CN-I,MGC119199,MGC119201
IGF1	IGF1A,IGFI,IGF-I,IGF
GNB2L1	RACK1
SLC29A3	ENT3,FLJ11160
USP14	TGT
C18orf8	WDR98,RMC1
SCGB2A2	MGB1,PSBP1,UGB2,MGC71974
METAP1D	MAP1D,Metap1l
SBF2	CMT4B2,DENND7B,KIAA1766,MTMR13
PSMB1	HC5,PMSB1
ANGPTL6	AGF,ARP5
RADIL	RASIP2,KIAA1849,FLJ10324
